timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,ignore
1577916000000,131.82,131.82,131.18,131.31,1752.7243,1577916059999,230398.3625917,602,549.8071,72279.029864,0
1577916060000,131.3,131.41,131.26,131.29,270.71265,1577916119999,35552.5409985,114,158.60368,20831.1382579,0
1577916120000,131.29,131.33,130.76,130.87,1973.672,1577916179999,258591.4485919,508,226.47957,29685.4988975,0
1577916180000,130.76,131.04,130.72,130.97,622.05471,1577916239999,81416.9543421,412,292.18128,38250.7223328,0
1577916240000,130.97,130.99,130.79,130.83,378.6196,1577916299999,49547.5384601,171,80.19793,10496.9490009,0
1577916300000,130.84,131.1,130.76,130.98,322.46923,1577916359999,42217.5575647,196,179.89817,23552.4808339,0
1577916360000,130.98,131.09,130.94,131.05,217.02854,1577916419999,28430.7681853,140,140.22381,18369.3407441,0
1577916420000,131.09,131.09,130.3,130.62,1587.78831,1577916479999,207358.6701677,632,561.98208,73376.9203156,0
1577916480000,130.65,130.66,130.3,130.42,799.54996,1577916539999,104268.2294274,379,299.43701,39060.8458168,0
1577916540000,130.42,130.5,130.37,130.5,306.38447,1577916599999,39971.965203,110,216.84832,28292.6603203,0
1577916600000,130.48,130.51,130.38,130.41,132.7531,1577916659999,17318.0153328,86,60.39688,7878.8682346,0
1577916660000,130.41,130.54,130.39,130.53,88.63368,1577916719999,11561.1570895,57,62.41258,8140.466555,0
1577916720000,130.54,130.57,130.53,130.56,37.81926,1577916779999,4937.5432631,39,27.35326,3571.1076322,0
1577916780000,130.56,130.72,130.56,130.69,59.90744,1577916839999,7826.3218755,58,42.97159,5613.4850212,0
1577916840000,130.69,130.71,130.62,130.68,41.13507,1577916899999,5375.6256075,44,24.2147,3164.7780095,0
1577916900000,130.69,130.72,130.64,130.67,54.1916,1577916959999,7082.2966168,67,16.94909,2215.4815926,0
1577916960000,130.68,130.71,130.67,130.7,38.07867,1577917019999,4976.0961687,39,6.44854,842.8607145,0
1577917020000,130.7,130.7,130.68,130.68,1.86719,1577917079999,244.0279251,15,1.16956,152.8598664,0
1577917080000,130.68,130.72,130.68,130.71,1.62778,1577917139999,212.7419446,13,0.45819,59.8909749,0
1577917140000,130.71,130.73,130.64,130.69,76.30087,1577917199999,9970.5565435,39,8.15367,1065.6262993,0
1577917200000,130.66,130.67,130.61,130.62,42.0016,1577917259999,5487.0888949,50,8.06509,1053.7451444,0
1577917260000,130.62,130.64,130.35,130.44,247.4682,1577917319999,32286.4050366,117,69.00265,9000.9165952,0
1577917320000,130.41,130.45,130.34,130.44,24.43241,1577917379999,3184.9162206,24,2.91262,379.8764877,0
1577917380000,130.44,130.55,130.36,130.52,105.86453,1577917439999,13813.5713055,50,68.475,8935.91166,0
1577917440000,130.56,130.57,130.54,130.56,19.82226,1577917499999,2587.7111479,38,6.13916,801.5070187,0
1577917500000,130.56,130.59,130.54,130.56,25.60968,1577917559999,3343.6877482,67,19.83839,2590.2621137,0
1577917560000,130.55,130.59,130.54,130.55,48.39125,1577917619999,6318.3224747,47,45.81466,5981.9528418,0
1577917620000,130.55,130.58,130.51,130.55,8.26162,1577917679999,1078.5258473,30,4.45447,581.5472538,0
1577917680000,130.52,130.58,130.51,130.54,10.66797,1577917739999,1392.5325726,25,1.80566,235.765636,0
1577917740000,130.53,130.56,130.39,130.41,120.80878,1577917799999,15759.5365355,75,15.94966,2080.9982461,0
1577917800000,130.36,130.4,130.19,130.2,1023.50856,1577917859999,133297.7084449,185,765.00903,99630.2995011,0
1577917860000,130.2,130.25,130.18,130.25,62.48703,1577917919999,8136.606728,57,36.8376,4796.9629025,0
1577917920000,130.23,130.26,130.11,130.17,271.77686,1577917979999,35371.8073973,120,121.76044,15848.4817903,0
1577917980000,130.14,130.19,130.1,130.17,91.29857,1577918039999,11882.623323,60,51.10212,6652.2473838,0
1577918040000,130.13,130.23,130.13,130.23,126.98294,1577918099999,16531.4857941,38,119.57791,15567.4263174,0
1577918100000,130.19,130.23,130.19,130.23,19.32323,1577918159999,2516.184444,32,12.59097,1639.6385285,0
1577918160000,130.24,130.25,130.22,130.25,8.51636,1577918219999,1109.1596183,23,1.0081,131.304257,0
1577918220000,130.25,130.28,130.22,130.25,18.47098,1577918279999,2405.9550175,39,12.49791,1628.1102367,0
1577918280000,130.22,130.28,130.2,130.21,36.27303,1577918339999,4724.4585359,37,23.00626,2996.7194298,0
1577918340000,130.21,130.24,130.21,130.21,10.84054,1577918399999,1411.6367787,16,1.36651,177.9695952,0
1577918400000,130.24,130.26,130.0,130.02,343.47255,1577918459999,44674.1321009,135,39.0233,5077.486825,0
1577918460000,130.06,130.06,129.9,129.99,240.54475,1577918519999,31269.4858995,99,29.64419,3853.5874476,0
1577918520000,129.99,130.03,129.97,130.02,47.60597,1577918579999,6189.2140886,41,23.03604,2994.9484985,0
1577918580000,130.03,130.08,130.01,130.06,16.37597,1577918639999,2129.708387,24,4.28786,557.5781608,0
1577918640000,130.08,130.11,130.04,130.08,47.26453,1577918699999,6147.9118796,49,24.74437,3218.9673996,0
1577918700000,130.09,130.15,130.07,130.09,50.3047,1577918759999,6545.8237378,43,30.66166,3990.2286591,0
1577918760000,130.08,130.08,130.03,130.03,56.12116,1577918819999,7299.3537061,24,0.13957,18.1552656,0
1577918820000,130.03,130.03,129.93,129.97,181.85934,1577918879999,23637.7873504,59,9.45804,1229.7052441,0
1577918880000,129.97,129.99,129.93,129.95,60.0834,1577918939999,7808.9826664,56,37.13633,4826.8606397,0
1577918940000,129.95,129.99,129.94,129.98,28.61494,1577918999999,3719.3654467,30,16.25442,2112.7680176,0
